,GATE_NAME,GATE_TYPE,LIM2_MEAN,LIM4_MEAN,INF_MEAN,LIM2_MEDIAN,LIM4_MEDIAN,INF_MEDIAN,LIM2_SIZE,LIM4_SIZE,INF_SIZE
0,U305,AND2X4,0.4166666666666667,0.0333333333333333,0.0303030303030303,0.25,0.0,0.0,3,30,33
1,U302,ISOLORX8,0.0078125,0.0,0.0,0.0078125,0.0,0.0,8,34,32
2,U301,OR4X4,1.875e-05,0.0,0.0,0.0,0.0,0.0,16,17,17
3,U300,NAND4X1,0.0,0.0,0.0,0.0,0.0,0.0,4,3,3
4,U299,NAND4X1,0.0625,0.0133167613636363,0.0161946614583333,0.0625,0.017578125,0.02587890625,6,11,12
5,U298,NAND4X1,0.0625,0.0126201923076923,0.01455,0.0625,0.017578125,0.0085,8,13,16
6,U297,NAND4X1,0.0625,0.00390625,0.00390625,0.0625,0.00390625,0.00390625,5,9,9
7,U296,OR4X4,0.000244140625,0.00024,0.0,0.000244140625,0.0002,0.0,13,15,15
8,U295,NAND4X1,0.125,0.1041666666666666,0.1041666666666666,0.125,0.125,0.125,5,6,6
9,U294,NAND4X1,0.0625,0.0424360795454545,0.03984375,0.0625,0.017578125,0.044921875,6,11,10
10,U293,NAND4X1,0.125,0.125,0.125,0.125,0.125,0.125,4,4,4
11,U230,XOR2X2,0.6666666666666666,0.4375,0.4375,0.5,0.25,0.25,3,4,4
12,U229,NOR2X4,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
13,U228,XOR2X2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,3,3,3
14,U227,XOR2X2,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
15,U226,XOR2X2,0.6666666666666666,0.4375,0.4375,0.5,0.25,0.25,3,4,4
16,U225,NOR2X4,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
17,U224,XOR2X2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,3,3,3
18,U223,XOR2X2,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
19,U222,XOR2X2,0.6666666666666666,0.4375,0.4375,0.5,0.25,0.25,3,4,4
20,U221,NOR2X4,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
21,U220,XOR2X2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,3,3,3
22,U219,XOR2X2,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
23,U218,XOR2X2,0.6666666666666666,0.4375,0.4375,0.5,0.25,0.25,3,4,4
24,U217,NOR2X4,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
25,U216,XOR2X2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,3,3,3
26,U215,XOR2X2,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
27,U214,INVX32,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
28,U213,NAND2X4,0.21875,0.1002604166666666,0.1002604166666666,0.21875,0.02734375,0.02734375,6,9,9
29,U212,NAND2X4,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
30,U211,NAND2X4,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
31,U210,NAND2X4,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
32,U209,NAND2X4,0.1770833333333333,0.0625,0.0625,0.03125,0.0625,0.0625,6,8,8
33,U208,NAND2X4,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
34,U207,NAND2X4,0.15625,0.1866319444444444,0.1351207386363636,0.09375,0.1953125,0.099609375,6,9,11
35,U206,NAND2X4,0.5,0.3125,0.1770833333333333,0.5,0.25,0.15625,2,4,6
36,U205,NAND2X4,0.2625,0.325,0.2276785714285714,0.1875,0.375,0.125,5,5,7
37,U204,NAND2X4,0.1808035714285714,0.1437174479166666,0.1043178013392857,0.140625,0.107421875,0.042236328125,7,12,14
38,U202,INVX32,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
39,U201,NAND2X4,0.1770833333333333,0.1770833333333333,0.1770833333333333,0.03125,0.03125,0.03125,6,6,6
40,U138,NAND4X1,0.125,0.125,0.125,0.125,0.125,0.125,4,4,4
41,U137,INVX32,0.125,0.125,0.125,0.125,0.125,0.125,4,4,4
42,U135,AOI21X2,0.4166666666666667,0.1875,0.1875,0.25,0.03125,0.03125,3,6,6
43,U132,NAND4X1,0.125,0.125,0.125,0.125,0.125,0.125,4,4,4
44,U131,INVX32,0.125,0.125,0.125,0.125,0.125,0.125,4,4,4
45,U129,AOI21X2,0.4166666666666667,0.1875,0.1875,0.25,0.03125,0.03125,3,6,6
46,U128,AND2X4,0.15625,0.108203125,0.108203125,0.09375,0.013671875,0.013671875,6,10,10
