,GATE_NAME,GATE_TYPE,LIM2_MEAN,LIM4_MEAN,INF_MEAN,LIM2_MEDIAN,LIM4_MEDIAN,INF_MEDIAN,LIM2_SIZE,LIM4_SIZE,INF_SIZE
0,U83,INVX2,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
1,U84,MUX21X1,0.375,0.2708333333333333,0.2708333333333333,0.375,0.25,0.25,4,6,6
2,U85,NOR2X0,0.4166666666666667,0.3125,0.3125,0.25,0.25,0.25,3,4,4
3,U86,AO22X1,0.3125,0.2544642857142857,0.2544642857142857,0.3125,0.28125,0.28125,5,7,7
4,U87,NAND2X0,0.3125,0.4375,0.4375,0.25,0.375,0.375,4,4,4
5,U88,MUX21X1,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.75,0.75,0.75,3,3,3
6,U89,NAND2X0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
7,U90,AO21X1,0.21875,0.25,0.25,0.09375,0.15625,0.15625,6,6,6
8,U91,NOR4X0,0.125,0.125,0.125,0.125,0.125,0.125,4,4,4
9,U92,AO22X1,0.375,0.2875,0.2291666666666666,0.375,0.3125,0.15625,4,5,6
10,U93,AO21X1,0.3125,0.2375,0.2375,0.125,0.0625,0.0625,4,5,5
11,U94,AO21X1,0.275,0.2083333333333333,0.1651785714285714,0.125,0.0625,0.03125,5,6,7
12,U95,MUX21X1,0.5,0.375,0.375,0.5,0.25,0.25,3,4,4
13,U96,MUX21X1,0.5,0.375,0.375,0.5,0.25,0.25,3,4,4
14,U97,MUX21X1,0.5,0.375,0.375,0.5,0.25,0.25,3,4,4
15,U98,MUX21X1,0.5,0.375,0.375,0.5,0.25,0.25,3,4,4
16,U99,MUX21X1,0.5,0.375,0.375,0.5,0.25,0.25,3,4,4
17,U100,MUX21X1,0.5,0.375,0.375,0.5,0.25,0.25,3,4,4
18,U101,MUX21X1,0.5,0.375,0.375,0.5,0.25,0.25,3,4,4
19,U102,MUX21X1,0.5,0.375,0.375,0.5,0.25,0.25,3,4,4
20,U103,OA21X1,0.2375,0.1019984654017857,0.0706809523809523,0.0625,0.0120849609375,0.0117,5,14,21
21,U104,NOR3X0,0.0558035714285714,0.0205863636363636,0.025725,0.078125,0.0109,0.0188,7,22,20
22,U105,NOR2X0,0.5,0.25,0.25,0.5,0.25,0.25,2,3,3
23,U106,MUX21X1,0.375,0.1651785714285714,0.13671875,0.25,0.03125,0.015625,4,7,8
24,U107,AO222X1,0.203125,0.0930466666666666,0.0660333333333333,0.1640625,0.0117,0.0068,8,15,21
25,U108,NOR2X0,0.375,0.375,0.375,0.375,0.375,0.375,4,4,4
26,U109,MUX21X1,0.375,0.1651785714285714,0.13671875,0.25,0.03125,0.015625,4,7,8
27,U110,AO221X1,0.3125,0.1223958333333333,0.0689428571428571,0.3125,0.0234375,0.0088,5,12,21
28,U111,INVX0,0.125,0.0154681818181818,0.025825,0.125,0.0068,0.0190499999999999,4,22,20
29,U112,MUX21X1,0.375,0.1651785714285714,0.13671875,0.25,0.03125,0.015625,4,7,8
30,U113,AO22X1,0.2875,0.1040414663461538,0.063547619047619,0.1875,0.0087890625,0.0007,5,13,21
31,U114,NOR2X0,0.0625,0.0132136363636363,0.015955,0.0625,0.0049,0.00875,5,22,20
32,U115,NAND4X0,0.052734375,0.0233666666666666,0.02631,0.03515625,0.0163,0.01965,11,24,20
33,U116,OA221X1,0.127197265625,0.0810777777777777,0.09151875,0.064453125,0.04115,0.04585,12,18,16
34,U117,OA222X1,0.1412464488636363,0.1086948939732142,0.1086948939732142,0.0498046875,0.029541015625,0.029541015625,11,14,14
35,U118,NOR4X0,0.09375,0.0602678571428571,0.0602678571428571,0.09375,0.078125,0.078125,6,7,7
36,U119,MUX21X1,0.375,0.375,0.375,0.375,0.375,0.375,4,4,4
37,U120,NAND3X0,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
