,GATE_NAME,GATE_TYPE,LIM2_MEAN,LIM4_MEAN,INF_MEAN,LIM2_MEDIAN,LIM4_MEDIAN,INF_MEDIAN,LIM2_SIZE,LIM4_SIZE,INF_SIZE
0,U200,NOR2X0,0.55,0.4824866666666667,0.2644333333333333,0.75,0.3773,0.0116,5,15,33
1,U201,XOR3X1,0.8333333333333334,0.58922,0.3303,1.0,0.7421,0.0151,6,20,33
2,U202,NOR2X0,0.25,0.0534894736842105,0.0049484848484848,0.25,0.0002,0.0,4,19,33
3,U203,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
4,U204,XOR3X1,0.5,0.241545,0.226478125,0.5,0.01335,0.02005,6,20,32
5,U205,NAND2X0,0.2375,0.0578,0.01506875,0.0625,0.0223,0.0148,5,16,32
6,U206,NOR2X0,0.5,0.65,0.65,0.5,0.75,0.75,3,10,10
7,U207,XOR2X1,1.0,1.0,1.0,1.0,1.0,1.0,5,8,8
8,U208,INVX0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
9,U209,OA21X1,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.25,0.25,0.25,3,3,3
10,U210,NAND2X0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
11,U211,XOR3X1,0.3928571428571428,0.20398,0.22655,0.25,0.0136,0.01985,7,20,32
12,U212,NOR2X0,0.2375,0.0950270432692307,0.015134375,0.0625,0.0810546875,0.0147,5,13,32
13,U213,OA21X1,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.25,0.25,0.25,3,3,3
14,U214,OA21X1,0.55,0.65,0.65,0.75,0.75,0.75,5,10,10
15,U215,NOR2X0,0.5,0.4073660714285714,0.1953333333333333,0.5,0.25,0.0079,4,14,33
16,U216,XNOR2X1,0.8,0.50315,0.2382454545454545,1.0,0.49315,0.0086,5,16,33
17,U217,NOR2X0,0.15625,0.050195,0.0034727272727272,0.09375,0.0002,0.0,6,20,33
18,U218,NOR2X0,0.5,0.4791666666666667,0.1728,0.5,0.515625,0.0054,4,12,33
19,U219,XNOR2X1,0.75,0.53708,0.2075,0.75,0.5026,0.0065,4,15,33
20,U220,NOR2X0,0.25,0.0529263157894736,0.0030242424242424,0.25,0.0002,0.0,4,19,33
21,U221,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
22,U222,NOR2X0,0.5,0.5,0.2174636363636363,0.5,0.75,0.0084,4,13,33
23,U223,XNOR2X1,0.8,0.5908,0.2689757575757576,1.0,0.4991,0.0102,5,17,33
24,U224,NOR2X0,0.25,0.0522105263157894,0.0039696969696969,0.25,0.0001,0.0,4,19,33
