,BENCHMARK,MEAN_INF-LIM2_FP_RATE,MEAN_INF-LIM2_DETECTED_TROJ,MEAN_INF-LIM4_FP_RATE,MEAN_INF-LIM4_DETECTED_TROJ,MEDIAN_INF-LIM2_FP_RATE,MEDIAN_INF-LIM2_DETECTED_TROJ,MEDIAN_INF-LIM4_FP_RATE,MEDIAN_INF-LIM4_DETECTED_TROJ
0,"RS232-T1100-uart
(for >= 1)",28.57142857142857,yes,3.3333333333333335,yes,45.714285714285715,yes,17.142857142857142,yes
1,"RS232-T1200-uart
(for >= 1)",27.488151658767773,yes,2.843601895734597,yes,45.023696682464454,yes,16.587677725118482,yes
2,"RS232-T1300-uart
(for >= 1)",28.502415458937197,yes,2.898550724637681,yes,45.893719806763286,yes,16.908212560386474,yes
3,"RS232-T1400-uart
(for >= 1)",28.095238095238095,yes,2.857142857142857,yes,45.23809523809524,yes,16.666666666666664,yes
4,"RS232-T1500-uart
(for >= 1)",28.90995260663507,yes,3.3175355450236967,yes,45.497630331753555,yes,17.061611374407583,yes
5,"RS232-T1600-uart
(for >= 1)",28.502415458937197,yes,2.898550724637681,yes,45.893719806763286,yes,16.908212560386474,yes
6,"b01
(for >= 1)",0.0,no trojan,0.0,no trojan,4.761904761904762,no trojan,0.0,no trojan
7,"b02
(for >= 1)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
8,"b03
(for >= 1)",26.53061224489796,no trojan,0.0,no trojan,44.89795918367347,no trojan,12.244897959183673,no trojan
9,"b04
(for >= 1)",45.3125,no trojan,23.958333333333336,no trojan,54.166666666666664,no trojan,39.58333333333333,no trojan
10,"b05
(for >= 1)",41.833810888252145,no trojan,10.601719197707736,no trojan,48.71060171919771,no trojan,22.636103151862464,no trojan
11,"b06
(for >= 1)",6.896551724137931,no trojan,0.0,no trojan,6.896551724137931,no trojan,0.0,no trojan
12,"b07
(for >= 1)",65.3061224489796,no trojan,32.6530612244898,no trojan,72.10884353741497,no trojan,44.89795918367347,no trojan
13,"b08
(for >= 1)",25.396825396825395,no trojan,1.5873015873015872,no trojan,41.269841269841265,no trojan,14.285714285714285,no trojan
14,"b09
(for >= 1)",35.08771929824561,no trojan,12.280701754385964,no trojan,35.08771929824561,no trojan,24.561403508771928,no trojan
15,"b10
(for >= 1)",22.340425531914892,no trojan,1.0638297872340425,no trojan,34.04255319148936,no trojan,6.382978723404255,no trojan
16,"b12
(for >= 1)",66.23655913978494,no trojan,22.1505376344086,no trojan,67.52688172043011,no trojan,30.53763440860215,no trojan
17,"b13
(for >= 1)",31.538461538461537,no trojan,10.0,no trojan,40.76923076923077,no trojan,17.692307692307693,no trojan
18,"b30
(for >= 1)",29.133858267716533,no trojan,3.937007874015748,no trojan,40.15748031496063,no trojan,14.960629921259844,no trojan
19,"c5315
(for >= 1)",20.0,no trojan,3.061224489795918,no trojan,37.55102040816327,no trojan,12.040816326530612,no trojan
20,"c880
(for >= 1)",55.769230769230774,no trojan,16.025641025641026,no trojan,68.58974358974359,no trojan,46.794871794871796,no trojan
21,"s35932-T100_scan_free
(for >= 1)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
22,"s35932-T100_scan_in
(for >= 1)",0.0,yes,0.0,no,0.0,yes,0.0,no
23,"s35932-T200_scan_free
(for >= 1)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
24,"s35932-T200_scan_in
(for >= 1)",0.06664445184938354,yes,0.0,no,0.06664445184938354,yes,0.06664445184938354,yes
25,"s35932-T300_scan_free
(for >= 1)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
26,"s35932-T300_scan_in
(for >= 1)",0.0,yes,0.0,yes,0.0,yes,0.0,yes
