,BENCHMARK,MEAN_INF-LIM2_NORM_FP_RATE,MEAN_INF-LIM2_NORM_DETECTED_TROJ,MEAN_INF-LIM4_NORM_FP_RATE,MEAN_INF-LIM4_NORM_DETECTED_TROJ,MEDIAN_INF-LIM2_NORM_FP_RATE,MEDIAN_INF-LIM2_NORM_DETECTED_TROJ,MEDIAN_INF-LIM4_NORM_FP_RATE,MEDIAN_INF-LIM4_NORM_DETECTED_TROJ
0,"RS232-T1100-uart
(for >= 0.8)",1.4285714285714286,yes,0.0,yes,22.380952380952383,yes,7.6190476190476195,yes
1,"RS232-T1100-uart
(for >= 0.9)",0.4761904761904762,yes,0.0,yes,12.857142857142856,yes,2.857142857142857,yes
2,"RS232-T1100-uart
(for >= 1)",0.0,yes,0.0,yes,0.9523809523809524,yes,0.4761904761904762,yes
3,"RS232-T1200-uart
(for >= 0.8)",1.4218009478672986,yes,0.0,yes,21.80094786729858,yes,7.109004739336493,yes
4,"RS232-T1200-uart
(for >= 0.9)",0.47393364928909953,yes,0.0,yes,12.322274881516588,yes,2.3696682464454977,yes
5,"RS232-T1200-uart
(for >= 1)",0.0,yes,0.0,yes,0.47393364928909953,yes,0.0,yes
6,"RS232-T1300-uart
(for >= 0.8)",1.4492753623188406,yes,0.0,yes,22.22222222222222,yes,7.246376811594203,yes
7,"RS232-T1300-uart
(for >= 0.9)",0.4830917874396135,yes,0.0,yes,12.560386473429952,yes,2.4154589371980677,yes
8,"RS232-T1300-uart
(for >= 1)",0.0,yes,0.0,yes,0.4830917874396135,yes,0.0,yes
9,"RS232-T1400-uart
(for >= 0.8)",1.4285714285714286,yes,0.0,yes,21.904761904761905,yes,7.142857142857142,yes
10,"RS232-T1400-uart
(for >= 0.9)",0.4761904761904762,yes,0.0,yes,12.380952380952381,yes,2.380952380952381,yes
11,"RS232-T1400-uart
(for >= 1)",0.0,yes,0.0,yes,0.4761904761904762,yes,0.0,yes
12,"RS232-T1500-uart
(for >= 0.8)",1.8957345971563981,yes,0.0,yes,22.274881516587676,yes,7.5829383886255926,yes
13,"RS232-T1500-uart
(for >= 0.9)",0.47393364928909953,yes,0.0,yes,12.796208530805686,yes,2.843601895734597,yes
14,"RS232-T1500-uart
(for >= 1)",0.0,yes,0.0,yes,0.9478672985781991,yes,0.47393364928909953,yes
15,"RS232-T1600-uart
(for >= 0.8)",1.4492753623188406,yes,0.0,yes,22.22222222222222,yes,7.246376811594203,yes
16,"RS232-T1600-uart
(for >= 0.9)",0.4830917874396135,yes,0.0,yes,12.560386473429952,yes,2.4154589371980677,yes
17,"RS232-T1600-uart
(for >= 1)",0.0,yes,0.0,yes,0.4830917874396135,yes,0.0,yes
18,"b01
(for >= 0.8)",4.761904761904762,no trojan,0.0,no trojan,9.523809523809524,no trojan,0.0,no trojan
19,"b01
(for >= 0.9)",0.0,no trojan,0.0,no trojan,9.523809523809524,no trojan,0.0,no trojan
20,"b01
(for >= 1)",0.0,no trojan,0.0,no trojan,9.523809523809524,no trojan,0.0,no trojan
21,"b02
(for >= 0.8)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
22,"b02
(for >= 0.9)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
23,"b02
(for >= 1)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
24,"b03
(for >= 0.8)",0.0,no trojan,0.0,no trojan,12.244897959183673,no trojan,2.0408163265306123,no trojan
25,"b03
(for >= 0.9)",0.0,no trojan,0.0,no trojan,2.0408163265306123,no trojan,0.0,no trojan
26,"b03
(for >= 1)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
27,"b04
(for >= 0.8)",18.229166666666664,no trojan,2.604166666666667,no trojan,46.875,no trojan,31.25,no trojan
28,"b04
(for >= 0.9)",3.125,no trojan,1.0416666666666665,no trojan,36.45833333333333,no trojan,23.4375,no trojan
29,"b04
(for >= 1)",1.5625,no trojan,1.0416666666666665,no trojan,13.541666666666666,no trojan,12.5,no trojan
30,"b05
(for >= 0.8)",9.169054441260744,no trojan,8.30945558739255,no trojan,31.805157593123205,no trojan,23.20916905444126,no trojan
31,"b05
(for >= 0.9)",5.730659025787966,no trojan,7.163323782234957,no trojan,20.630372492836678,no trojan,19.770773638968482,no trojan
32,"b05
(for >= 1)",2.5787965616045847,no trojan,5.444126074498568,no trojan,6.59025787965616,no trojan,16.332378223495702,no trojan
33,"b06
(for >= 0.8)",3.4482758620689653,no trojan,0.0,no trojan,13.793103448275861,no trojan,0.0,no trojan
34,"b06
(for >= 0.9)",3.4482758620689653,no trojan,0.0,no trojan,10.344827586206897,no trojan,0.0,no trojan
35,"b06
(for >= 1)",3.4482758620689653,no trojan,0.0,no trojan,10.344827586206897,no trojan,0.0,no trojan
36,"b07
(for >= 0.8)",37.41496598639456,no trojan,4.761904761904762,no trojan,59.183673469387756,no trojan,37.41496598639456,no trojan
37,"b07
(for >= 0.9)",14.285714285714285,no trojan,4.081632653061225,no trojan,50.34013605442177,no trojan,34.01360544217687,no trojan
38,"b07
(for >= 1)",0.0,no trojan,0.0,no trojan,9.523809523809524,no trojan,8.843537414965986,no trojan
39,"b08
(for >= 0.8)",0.0,no trojan,0.0,no trojan,15.873015873015872,no trojan,3.1746031746031744,no trojan
40,"b08
(for >= 0.9)",0.0,no trojan,0.0,no trojan,11.11111111111111,no trojan,3.1746031746031744,no trojan
41,"b08
(for >= 1)",0.0,no trojan,0.0,no trojan,0.0,no trojan,1.5873015873015872,no trojan
42,"b09
(for >= 0.8)",7.017543859649122,no trojan,0.0,no trojan,35.08771929824561,no trojan,24.561403508771928,no trojan
43,"b09
(for >= 0.9)",0.0,no trojan,0.0,no trojan,35.08771929824561,no trojan,24.561403508771928,no trojan
44,"b09
(for >= 1)",0.0,no trojan,0.0,no trojan,1.7543859649122806,no trojan,0.0,no trojan
45,"b10
(for >= 0.8)",5.319148936170213,no trojan,0.0,no trojan,9.574468085106384,no trojan,6.382978723404255,no trojan
46,"b10
(for >= 0.9)",3.1914893617021276,no trojan,0.0,no trojan,8.51063829787234,no trojan,5.319148936170213,no trojan
47,"b10
(for >= 1)",3.1914893617021276,no trojan,0.0,no trojan,3.1914893617021276,no trojan,5.319148936170213,no trojan
48,"b12
(for >= 0.8)",29.03225806451613,no trojan,8.817204301075268,no trojan,47.956989247311824,no trojan,25.376344086021508,no trojan
