,BENCHMARK,MEAN_LIM2_FP_RATE,MEAN_LIM2_DETECTED_TROJ,MEAN_LIM4_FP_RATE,MEAN_LIM4_DETECTED_TROJ,MEAN_INF_FP_RATE,MEAN_INF_DETECTED_TROJ,MEDIAN_LIM2_FP_RATE,MEDIAN_LIM2_DETECTED_TROJ,MEDIAN_LIM4_FP_RATE,MEDIAN_LIM4_DETECTED_TROJ,MEDIAN_INF_FP_RATE,MEDIAN_INF_DETECTED_TROJ
0,"RS232-T1100-uart
(for <= 0.001)",0.0,yes,0.0,yes,0.0,yes,0.0,yes,0.0,yes,0.4761904761904762,yes
1,"RS232-T1100-uart
(for <= 0.025)",0.0,yes,0.4761904761904762,yes,0.4761904761904762,yes,0.0,yes,2.857142857142857,yes,12.380952380952381,yes
2,"RS232-T1100-uart
(for <= 0.06)",0.4761904761904762,yes,1.9047619047619049,yes,2.380952380952381,yes,1.9047619047619049,yes,13.333333333333334,yes,23.333333333333332,yes
3,"RS232-T1200-uart
(for <= 0.001)",0.0,yes,0.0,yes,0.0,yes,0.0,yes,0.0,yes,0.0,yes
4,"RS232-T1200-uart
(for <= 0.025)",0.0,yes,0.47393364928909953,yes,0.47393364928909953,yes,0.0,yes,2.3696682464454977,yes,11.848341232227488,yes
5,"RS232-T1200-uart
(for <= 0.06)",0.47393364928909953,yes,1.8957345971563981,yes,1.8957345971563981,yes,1.8957345971563981,yes,12.796208530805686,yes,22.748815165876778,yes
6,"RS232-T1300-uart
(for <= 0.001)",0.0,yes,0.0,yes,0.0,yes,0.0,yes,0.0,yes,0.0,yes
7,"RS232-T1300-uart
(for <= 0.025)",0.0,yes,0.4830917874396135,yes,0.4830917874396135,yes,0.0,yes,2.4154589371980677,yes,12.077294685990339,yes
8,"RS232-T1300-uart
(for <= 0.06)",0.4830917874396135,yes,1.932367149758454,yes,1.932367149758454,yes,1.932367149758454,yes,13.043478260869565,yes,23.18840579710145,yes
9,"RS232-T1400-uart
(for <= 0.001)",0.0,yes,0.0,yes,0.0,yes,0.0,yes,0.0,yes,0.0,yes
10,"RS232-T1400-uart
(for <= 0.025)",0.0,yes,0.4761904761904762,yes,0.4761904761904762,yes,0.0,yes,2.380952380952381,yes,11.904761904761903,yes
11,"RS232-T1400-uart
(for <= 0.06)",0.4761904761904762,yes,1.9047619047619049,yes,1.9047619047619049,yes,1.9047619047619049,yes,12.857142857142856,yes,22.857142857142858,yes
12,"RS232-T1500-uart
(for <= 0.001)",0.0,yes,0.0,yes,0.0,yes,0.0,yes,0.0,yes,0.47393364928909953,yes
13,"RS232-T1500-uart
(for <= 0.025)",0.0,yes,0.47393364928909953,yes,0.47393364928909953,yes,0.0,yes,2.843601895734597,yes,12.322274881516588,yes
14,"RS232-T1500-uart
(for <= 0.06)",0.47393364928909953,yes,1.8957345971563981,yes,2.3696682464454977,yes,1.8957345971563981,yes,13.270142180094787,yes,23.22274881516588,yes
15,"RS232-T1600-uart
(for <= 0.001)",0.0,yes,0.0,yes,0.0,yes,0.0,yes,0.0,yes,0.0,yes
16,"RS232-T1600-uart
(for <= 0.025)",0.0,yes,0.4830917874396135,yes,0.4830917874396135,yes,0.0,yes,2.4154589371980677,yes,12.077294685990339,yes
17,"RS232-T1600-uart
(for <= 0.06)",0.4830917874396135,yes,1.932367149758454,yes,1.932367149758454,yes,1.932367149758454,yes,13.043478260869565,yes,23.18840579710145,yes
18,"b01
(for <= 0.001)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
19,"b01
(for <= 0.025)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
20,"b01
(for <= 0.06)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
21,"b02
(for <= 0.001)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
22,"b02
(for <= 0.025)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
23,"b02
(for <= 0.06)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
24,"b03
(for <= 0.001)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
25,"b03
(for <= 0.025)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
26,"b03
(for <= 0.06)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan,10.204081632653061,no trojan,20.408163265306122,no trojan
27,"b04
(for <= 0.001)",0.0,no trojan,0.0,no trojan,1.0416666666666665,no trojan,0.0,no trojan,0.0,no trojan,8.333333333333332,no trojan
28,"b04
(for <= 0.025)",0.0,no trojan,0.0,no trojan,3.125,no trojan,0.0,no trojan,0.0,no trojan,29.6875,no trojan
