,GATE_NAME,GATE_TYPE,LIM2_MEAN,LIM4_MEAN,INF_MEAN,LIM2_MEDIAN,LIM4_MEDIAN,INF_MEDIAN,LIM2_SIZE,LIM4_SIZE,INF_SIZE
0,U3558,ISOLANDX1,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
1,U3871,ISOLANDX1,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
2,U3872,NOR2X0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
3,U3989,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
4,U3990,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
5,U3991,ISOLANDX1,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
6,U4020,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
7,U4021,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
8,U4022,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
9,U4023,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
10,U4024,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
11,U4025,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
12,U4026,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
13,U4027,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
14,U4056,NOR2X0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
15,U4057,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
16,U4058,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
17,U4059,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
18,U4060,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
19,U4061,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
20,U4062,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
21,U4063,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
22,U4064,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
23,U4065,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
24,U4066,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
25,U4067,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
26,U4068,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
27,U4069,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
28,U4070,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
