,GATE_NAME,GATE_TYPE,LIM2_MEAN,LIM4_MEAN,INF_MEAN,LIM2_MEDIAN,LIM4_MEDIAN,INF_MEDIAN,LIM2_SIZE,LIM4_SIZE,INF_SIZE
0,U5132,OA22X1,0.2604166666666667,0.0598708333333333,0.0418828571428571,0.28125,0.00685,0.002,6,24,35
1,U5133,OA22X1,0.3125,0.0597727272727272,0.0400828571428571,0.3125,0.0066,0.0018,5,22,35
2,U5134,OA221X1,0.2625,0.0483478260869565,0.0376351351351351,0.1875,0.0049,0.0013,5,23,37
3,U5135,OA221X1,0.2625,0.0510086956521739,0.0382277777777777,0.1875,0.0087,0.0010999999999999,5,23,36
4,U5136,OA221X1,0.2625,0.050290909090909,0.0364026315789473,0.1875,0.0056,0.0009,5,22,38
5,U5137,OA221X1,0.2625,0.0510318181818181,0.0424515151515151,0.1875,0.0049499999999999,0.0021,5,22,33
6,U5138,OA221X1,0.2625,0.0500318181818181,0.0397828571428571,0.1875,0.0056,0.0011,5,22,35
7,U5139,OA221X1,0.2625,0.0510318181818181,0.0387138888888888,0.1875,0.0055499999999999,0.00225,5,22,36
8,U5140,OA22X1,0.2604166666666667,0.051095652173913,0.0419371428571428,0.28125,0.0056,0.002,6,23,35
9,U5141,OA22X1,0.2604166666666667,0.0609181818181818,0.0398057142857142,0.28125,0.00695,0.0012,6,22,35
10,U5142,OA221X1,0.2625,0.0486391304347826,0.0379405405405405,0.1875,0.005,0.0013,5,23,37
11,U5143,OA221X1,0.2291666666666666,0.0529653846153846,0.0349166666666666,0.15625,0.0007999999999999,0.0,6,26,36
12,U5144,OA221X1,0.2625,0.0511454545454545,0.0385666666666666,0.1875,0.00565,0.00185,5,22,36
13,U5145,OA221X1,0.2625,0.0497818181818181,0.0386805555555555,0.1875,0.0053,0.00145,5,22,36
14,U5146,OA221X1,0.2625,0.0509347826086956,0.0399371428571428,0.1875,0.0082,0.0014,5,23,35
15,U5147,OA221X1,0.2625,0.051040909090909,0.0422484848484848,0.1875,0.00515,0.002,5,22,33
16,U5148,OA221X1,0.2625,0.0509590909090909,0.0389555555555555,0.1875,0.0054,0.00145,5,22,36
17,U5149,OA221X1,0.166015625,0.0356060606060606,0.0266021276595744,0.0234375,0.0065,0.0007,8,33,47
18,U5150,OA221X1,0.166015625,0.035430303030303,0.0239038461538461,0.0234375,0.0069,0.0003,8,33,52
19,U5151,OA221X1,0.2625,0.048091304347826,0.0388222222222222,0.1875,0.0048,0.0015,5,23,36
20,U5152,OA221X1,0.1986607142857142,0.0398483870967741,0.0300023809523809,0.140625,0.0094,0.002,7,31,42
21,U5153,OA221X1,0.2625,0.0511136363636363,0.0394057142857142,0.1875,0.0053,0.0012,5,22,35
22,U5154,OA221X1,0.17578125,0.0294894736842105,0.0247,0.1171875,0.0033,0.00025,8,38,50
23,U5155,OA221X1,0.17578125,0.0311358974358974,0.024672,0.1171875,0.0061,0.0003,8,39,50
24,U5156,OA221X1,0.2291666666666666,0.0520304347826087,0.0372473684210526,0.15625,0.007,0.0017,6,23,38
25,U5157,OA221X1,0.1153231534090909,0.018115873015873,0.0147094117647058,0.0029296875,0.0,0.0,11,63,85
26,U5158,OA221X1,0.2291666666666666,0.0515695652173913,0.0376842105263157,0.15625,0.007,0.0016,6,23,38
27,U5159,OA221X1,0.1986607142857142,0.0440538461538461,0.0377526315789473,0.140625,0.0043999999999999,0.00155,7,26,38
28,U5160,OA221X1,0.1941964285714285,0.050236,0.0374,0.046875,0.0101,0.0018,7,25,37
29,U5161,OA221X1,0.1986607142857142,0.0409464285714285,0.036055,0.140625,0.0079,0.00165,7,28,40
30,U5162,AO221X1,0.1315104166666666,0.0562695652173913,0.0082467532467532,0.06640625,0.0038,0.0,9,23,154
31,U5163,AO22X1,0.275,0.197265625,0.031435294117647,0.25,0.140625,0.00235,5,8,34
32,U5164,NOR2X0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
33,U5165,NOR2X0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
34,U5166,AO222X1,0.2544642857142857,0.182421875,0.0494685714285714,0.1875,0.1875,0.0019,7,10,35
35,U5167,AO222X1,0.28125,0.1831597222222222,0.0496342857142857,0.28125,0.1875,0.002,6,9,35
36,U5168,AO222X1,0.28125,0.1831597222222222,0.0496685714285714,0.28125,0.1875,0.0019,6,9,35
37,U5169,AO222X1,0.2544642857142857,0.1831597222222222,0.0469837837837837,0.1875,0.1875,0.0017,7,9,37
38,U5170,AO222X1,0.28125,0.1831597222222222,0.0469918918918918,0.28125,0.1875,0.0019,6,9,37
39,U5171,AO222X1,0.28125,0.1831597222222222,0.0495885714285714,0.28125,0.1875,0.002,6,9,35
40,U5172,AO222X1,0.2544642857142857,0.182421875,0.0486638888888888,0.1875,0.1875,0.0019,7,10,36
41,U5173,MUX21X2,0.375,0.375,0.375,0.375,0.375,0.375,4,4,4
42,U5174,NOR2X0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
43,U5175,MUX21X2,0.375,0.375,0.375,0.375,0.375,0.375,4,4,4
44,U5176,NOR2X0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
45,U5177,AO22X1,0.275,0.197265625,0.0300285714285714,0.25,0.140625,0.0012,5,8,35
46,U5178,NOR2X0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
47,U5179,AO22X1,0.275,0.197265625,0.0296714285714285,0.25,0.140625,0.0015,5,8,35
48,U5180,AO22X1,0.275,0.197265625,0.0282837837837837,0.25,0.140625,0.0013,5,8,37
